Talk,Last,First,Abstract,Affiliation,Title,Date,Time
1,Mang,Katrin,data/mang.tex,Leibniz Universität Hannover (Germany),Simulating fractures in rubber -- one step further with phase-field modeling,,,
2,Tabiai,Ilyass,data/tabiai,Polytechnique Montréal (Canada),Full field in-situ Digital Image Correlation measurements of Mode I and Mode II crack growth for polymeric materials,,
3,Leng,Yu,data/yu.tex,University of Texas at Austin,Asymptotically compatible reproducing kernel collocation and meshfree integration for Peridynamic Navier equation,,
4,Vaughan,Mary,data/vaughan.tex,Iowa State University,Fractional Derivatives and Viscoelasticity,,
5,Bhattacharya,Debdeep,data/debdeep.tex,George Washington University,Two dimensional reduction of 3D axisymmetric peridynamic models,,
6,Behzadinasab,Masoud,data/masoud.tex,Brown University,Peridynamic modeling of large deformation and ductile fracture,,
7,Pasetto,Marco,data/pasetto.tex,Oak Ridge National Laboratory,Convergence in peridynamic fracture modeling,,
8,Tian,Xiaochuan,data/tian.tex,The University of Texas at Austin,Fast algorithm for peridynamics and nonlocal models in heterogeneous media,,
9,Butt,Sahir,data/butt.tex,Ruhr University Bochum (Germany),Dynamic fracture modeling with peridynamics,,
10,Cao ,Le ,data/le.tex,University of Kentucky,Peridynamic modeling of plastic deformation for ductile fracture,,

